height,lightning_nodes,lightning_channels,segwit_percentage,segwit_inputs,total_inputs,lightning_channels_funded
510720,658,3857,3.92,152,3879,2
510719,658,3857,9.35,494,5282,4
510718,658,3857,16.61,872,5251,6
510717,658,3857,4.81,177,3682,2
510716,658,3857,8.71,441,5064,3
510715,658,3857,3.94,156,3963,1
510714,658,3857,6.78,285,4202,2
510713,658,3857,11.01,580,5266,6
510712,658,3857,7.64,410,5364,1
510711,658,3857,14.14,764,5403,3
510710,658,3857,15.00,856,5706,8
510709,658,3857,17.28,936,5417,4
510707,658,3857,5.75,230,3997,2
510706,658,3857,7.28,302,4146,0
510705,658,3857,15.44,815,5279,14
510704,658,3857,11.88,302,2542,6
510703,658,3857,7.44,303,4073,1
510702,658,3857,7.82,337,4307,4
510701,658,3857,4.42,204,4617,4
510699,658,3857,16.92,711,4201,4
510699,658,3857,16.92,711,4201,4
510696,658,3857,5.53,312,5644,9
510694,658,3857,0.03,1,3923,0
510693,658,3857,0.02,1,4536,0
510692,658,3857,3.95,153,3876,2
510691,658,3857,6.19,251,4057,2
510689,658,3857,5.72,313,5476,7
510688,658,3857,23.80,1127,4735,0
510686,658,3857,26.32,1258,4780,3
510684,658,3857,25.12,1333,5307,4
510683,658,3857,12.18,659,5409,5
510682,658,3857,18.64,917,4920,6
510681,658,3857,13.95,766,5491,4
510678,658,3857,5.23,326,6229,6
510676,658,3857,0.02,1,5194,0
510675,658,3857,1.81,99,5466,1
510674,658,3857,0.35,20,5646,0
510673,658,3857,8.73,492,5634,10
510670,658,3857,7.51,421,5606,11
510670,658,3857,7.51,421,5606,11
510669,658,3857,0.02,1,5502,0
510668,658,3857,0.81,44,5402,1
510667,658,3857,4.47,234,5235,3
510666,658,3857,8.37,471,5629,0
510663,658,3857,12.67,849,6700,5
510662,658,3857,8.38,551,6572,5
510661,658,3857,0.33,22,6678,1
510659,658,3857,0.40,27,6733,0
510656,658,3857,13.53,761,5626,19
510653,658,3857,7.88,393,4988,11
510652,658,3857,6.78,359,5298,3
510651,658,3857,2.04,128,6281,2
510649,658,3857,7.65,409,5347,22
510647,658,3857,10.12,592,5847,0
510647,658,3857,10.12,592,5847,0
510646,658,3857,5.64,358,6343,4
510645,658,3857,0.33,20,6023,0
510644,658,3857,2.24,144,6434,2
510643,658,3857,8.35,459,5495,2
510642,658,3857,9.44,511,5413,1
510641,658,3857,1.09,73,6693,1
510638,658,3857,4.82,288,5977,2
510636,658,3857,4.68,299,6392,3
510634,658,3857,0.36,24,6687,1
510633,658,3857,2.09,135,6444,3
510632,658,3857,5.58,347,6220,9
510630,658,3857,2.51,164,6528,4
510629,658,3857,0.70,41,5844,1
510628,658,3857,2.86,184,6428,3
510627,658,3857,3.16,201,6353,6
510626,658,3857,6.23,379,6081,1
510624,658,3857,0.76,50,6585,1
510622,658,3857,0.10,6,5995,0
510616,658,3857,0.39,26,6697,6
